geometry,temperature_K,state_index,spin1_index,spin2_index,p_initial,p_equilibrium,p_end,p_time_mean
face,200.0,0,0,0,0.015625,8.382256078048769e-06,0.015638094538441942,0.015631690387222133
face,200.0,1,0,1,0.015625,0.0010151950895426044,0.01592924979942429,0.015778521076741655
face,200.0,2,0,2,0.015625,0.0010151950895426044,0.015929249799431236,0.015778521076748726
face,200.0,3,0,3,0.015625,0.12295270631618875,0.017294470205690287,0.016467596539933346
face,200.0,4,0,4,0.015625,5.714572624151704e-10,0.015458033935577662,0.01554136768248418
face,200.0,5,0,5,0.015625,6.921055635684985e-08,0.015169947479374788,0.01539634108911837
face,200.0,6,0,6,0.015625,6.921055635684985e-08,0.015169947479374793,0.015396341089118382
face,200.0,7,0,7,0.015625,8.382256078048769e-06,0.01441100676262392,0.015009621058572054
face,200.0,8,1,0,0.015625,0.0010151950895426044,0.015929249799423555,0.01577852107674096
face,200.0,9,1,1,0.015625,8.382256078048769e-06,0.015638094538442292,0.015631690387222504
face,200.0,10,1,2,0.015625,0.12295270631618875,0.017294470205746815,0.016467596539989873
face,200.0,11,1,3,0.015625,0.0010151950895426044,0.01592924979943226,0.01577852107674975
face,200.0,12,1,4,0.015625,6.921055635684985e-08,0.015169947479374854,0.015396341089118434
face,200.0,13,1,5,0.015625,5.714572624151704e-10,0.015458033935577688,0.015541367682484201
face,200.0,14,1,6,0.015625,8.382256078048769e-06,0.014411006762625135,0.015009621058573315
face,200.0,15,1,7,0.015625,6.921055635684985e-08,0.015169947479374847,0.015396341089118427
face,200.0,16,2,0,0.015625,0.0010151950895426044,0.015929249799427454,0.015778521076744833
face,200.0,17,2,1,0.015625,0.12295270631618875,0.017294470205731455,0.01646759653997399
face,200.0,18,2,2,0.015625,8.382256078048769e-06,0.015638094538442383,0.015631690387222605
face,200.0,19,2,3,0.015625,0.0010151950895426044,0.01592924979942552,0.015778521076742758
face,200.0,20,2,4,0.015625,6.921055635684985e-08,0.015169947479374826,0.015396341089118408
face,200.0,21,2,5,0.015625,8.382256078048769e-06,0.014411006762623963,0.015009621058572155
