scheme,n_per_axis,volume_nodes,configuration,gap_nm,U_attr_kcalmol,rel_error_vs_reference,rel_change_vs_previous,abs_error_kBT,wall_seconds,peak_pair_memory_MB
cartesian,8,512,face_to_face_twist45,1.00,-2.27711418e+02,8.400e-02,2.301e-02,2.9598e+01,0.011,152.6
cartesian,8,512,face_to_face_twist45,2.99,-2.08253628e+01,2.694e-02,2.535e-02,9.1629e-01,0.010,152.6
cartesian,8,512,face_to_face_twist45,8.00,-1.37881363e+00,8.017e-03,9.062e-03,1.8395e-02,0.010,152.6
cartesian,12,1728,face_to_face_100,1.00,-2.25958395e+02,4.555e-02,1.188e-01,1.6511e+01,0.100,152.5
cartesian,12,1728,face_to_face_100,2.99,-2.06350741e+01,8.557e-03,1.876e-02,2.9366e-01,0.097,152.5
cartesian,12,1728,face_to_face_100,8.00,-1.37240241e+00,2.588e-03,5.400e-03,5.9412e-03,0.123,152.5
cartesian,12,1728,face_edge_110,1.00,-3.59805398e+01,8.114e-03,5.834e-02,4.8577e-01,0.103,152.5
cartesian,12,1728,face_edge_110,2.99,-4.83812740e+00,2.974e-03,3.363e-03,2.4063e-02,0.109,152.5
cartesian,12,1728,face_edge_110,8.00,-4.84373792e-01,1.294e-03,2.629e-03,1.0504e-03,0.098,152.5
cartesian,12,1728,corner_111,1.00,-8.48649670e+00,6.328e-03,3.039e-02,9.0656e-02,0.107,152.5
cartesian,12,1728,corner_111,2.99,-1.69666892e+00,2.443e-04,1.480e-03,6.9498e-04,0.101,152.5
cartesian,12,1728,corner_111,8.00,-2.40859623e-01,3.272e-04,9.359e-04,1.3213e-04,0.105,152.5
cartesian,12,1728,face_to_face_twist45,1.00,-2.17260789e+02,3.425e-02,4.589e-02,1.2068e+01,0.121,152.5
cartesian,12,1728,face_to_face_twist45,2.99,-2.04515271e+01,8.502e-03,1.795e-02,2.8922e-01,0.110,152.5
cartesian,12,1728,face_to_face_twist45,8.00,-1.37138632e+00,2.587e-03,5.387e-03,5.9360e-03,0.088,152.5
cartesian,16,4096,face_to_face_100,1.00,-2.19180859e+02,1.419e-02,2.999e-02,5.1425e+00,0.546,152.5
cartesian,16,4096,face_to_face_100,2.99,-2.05274961e+01,3.299e-03,5.213e-03,1.1321e-01,0.526,152.5
cartesian,16,4096,face_to_face_100,8.00,-1.37026536e+00,1.026e-03,1.557e-03,2.3565e-03,0.521,152.5
cartesian,16,4096,face_edge_110,1.00,-3.58394152e+01,4.160e-03,3.922e-03,2.4905e-01,0.553,152.5
cartesian,16,4096,face_edge_110,2.99,-4.82977015e+00,1.241e-03,1.727e-03,1.0045e-02,0.570,152.5
cartesian,16,4096,face_edge_110,8.00,-4.84002084e-01,5.261e-04,7.674e-04,4.2687e-04,0.504,152.5
cartesian,16,4096,corner_111,1.00,-8.53861041e+00,2.262e-04,6.141e-03,3.2404e-03,0.482,152.5
cartesian,16,4096,corner_111,2.99,-1.69636787e+00,6.678e-05,1.774e-04,1.9000e-04,0.519,152.5
cartesian,16,4096,corner_111,8.00,-2.40808197e-01,1.136e-04,2.135e-04,4.5870e-05,0.522,152.5
cartesian,16,4096,face_to_face_twist45,1.00,-2.12827867e+02,1.315e-02,2.040e-02,4.6326e+00,0.489,152.5
cartesian,16,4096,face_to_face_twist45,2.99,-2.03462482e+01,3.311e-03,5.148e-03,1.1263e-01,0.533,152.5
cartesian,16,4096,face_to_face_twist45,8.00,-1.36925209e+00,1.027e-03,1.556e-03,2.3560e-03,0.508,152.5
cartesian,20,8000,face_to_face_100,1.00,-2.17190118e+02,4.974e-03,9.083e-03,1.8032e+00,1.990,152.6
cartesian,20,8000,face_to_face_100,2.99,-2.04858699e+01,1.264e-03,2.028e-03,4.3389e-02,2.046,152.6
cartesian,20,8000,face_to_face_100,8.00,-1.36940679e+00,3.991e-04,6.266e-04,9.1637e-04,1.961,152.6
cartesian,20,8000,face_edge_110,1.00,-3.57495020e+01,1.641e-03,2.509e-03,9.8232e-02,1.987,152.6
cartesian,20,8000,face_edge_110,2.99,-4.82620236e+00,5.018e-04,7.387e-04,4.0604e-03,2.007,152.6
cartesian,20,8000,face_edge_110,8.00,-4.83848690e-01,2.090e-04,3.169e-04,1.6957e-04,1.988,152.6
cartesian,20,8000,corner_111,1.00,-8.53915599e+00,1.623e-04,6.390e-05,2.3253e-03,1.986,152.6
cartesian,20,8000,corner_111,2.99,-1.69628419e+00,1.745e-05,4.933e-05,4.9638e-05,1.998,152.6
cartesian,20,8000,corner_111,8.00,-2.40790598e-01,4.048e-05,7.308e-05,1.6350e-05,2.153,152.6
cartesian,20,8000,face_to_face_twist45,1.00,-2.11093862e+02,4.893e-03,8.147e-03,1.7240e+00,2.077,152.6
cartesian,20,8000,face_to_face_twist45,2.99,-2.03049386e+01,1.274e-03,2.030e-03,4.3333e-02,2.038,152.6
cartesian,20,8000,face_to_face_twist45,8.00,-1.36839391e+00,3.995e-04,6.268e-04,9.1651e-04,1.932,152.6
cartesian,24,13824,face_to_face_100,1.00,-2.16358234e+02,1.125e-03,3.830e-03,4.0784e-01,5.870,152.4
cartesian,24,13824,face_to_face_100,2.99,-2.04660975e+01,2.979e-04,9.652e-04,1.0223e-02,5.390,152.4
cartesian,24,13824,face_to_face_100,8.00,-1.36899026e+00,9.481e-05,3.042e-04,2.1769e-04,5.823,152.4
cartesian,24,13824,face_edge_110,1.00,-3.57055062e+01,4.081e-04,1.231e-03,2.4434e-02,5.901,152.4
cartesian,24,13824,face_edge_110,2.99,-4.82437326e+00,1.226e-04,3.790e-04,9.9222e-04,5.756,152.4
cartesian,24,13824,face_edge_110,8.00,-4.83772041e-01,5.052e-05,1.584e-04,4.0994e-05,5.806,152.4
cartesian,24,13824,corner_111,1.00,-8.54042896e+00,1.326e-05,1.491e-04,1.9001e-04,5.795,152.4
cartesian,24,13824,corner_111,2.99,-1.69625929e+00,2.765e-06,1.468e-05,7.8670e-06,5.826,152.4
cartesian,24,13824,corner_111,8.00,-2.40783032e-01,9.058e-06,3.142e-05,3.6586e-06,6.071,152.4
cartesian,24,13824,face_to_face_twist45,1.00,-2.10302499e+02,1.125e-03,3.749e-03,3.9658e-01,5.926,152.4
cartesian,24,13824,face_to_face_twist45,2.99,-2.02852032e+01,3.007e-04,9.720e-04,1.0228e-02,5.833,152.4
cartesian,24,13824,face_to_face_twist45,8.00,-1.36797735e+00,9.491e-05,3.044e-04,2.1777e-04,6.064,152.4
radial,3,54,face_to_face_100,1.00,-6.38527659e+02,1.955e+00,nan,7.0855e+02,0.001,152.6
radial,3,54,face_to_face_100,2.99,-2.92637881e+01,4.303e-01,nan,1.4767e+01,0.001,152.6
radial,3,54,face_to_face_100,8.00,-1.35222957e+00,1.215e-02,nan,2.7897e-02,0.001,152.6
radial,3,54,face_edge_110,1.00,-7.08504893e+00,8.015e-01,nan,4.7983e+01,0.001,152.6
