level,volume_nodes,surface_nodes,configuration,gap_nm,U_attr_kcalmol,U_rep_kcalmol,U_pair_kcalmol,rel_change_attr,rel_change_rep,rel_change_pair,abs_change_pair_kBT,wall_seconds
cartesian8+facegl12,512,864,face_to_face_twist45,1.00,-2.27711418e+02,4.57004140e+01,-1.82011004e+02,2.301e-02,7.164e-05,2.897e-02,8.595e+00,0.013
cartesian8+facegl12,512,864,face_to_face_twist45,2.99,-2.08253628e+01,8.96438964e+00,-1.18609732e+01,2.535e-02,3.035e-05,4.370e-02,9.091e-01,0.013
cartesian8+facegl12,512,864,face_to_face_twist45,8.00,-1.37881363e+00,4.52295909e-01,-9.26517721e-01,9.062e-03,1.169e-04,1.348e-02,2.124e-02,0.012
cartesian12+facegl16,1728,1536,face_to_face_100,1.00,-2.25958395e+02,4.73232091e+01,-1.78635186e+02,1.188e-01,3.230e-06,1.457e-01,5.110e+01,0.091
cartesian12+facegl16,1728,1536,face_to_face_100,2.99,-2.06350741e+01,9.19131779e+00,-1.14437563e+01,1.876e-02,1.235e-06,3.333e-02,6.619e-01,0.092
cartesian12+facegl16,1728,1536,face_to_face_100,8.00,-1.37240241e+00,4.58169980e-01,-9.14232428e-01,5.400e-03,5.818e-07,8.084e-03,1.250e-02,0.090
cartesian12+facegl16,1728,1536,face_edge_110,1.00,-3.59805398e+01,1.46661450e+01,-2.13143948e+01,5.834e-02,5.284e-06,1.026e-01,3.327e+00,0.089
cartesian12+facegl16,1728,1536,face_edge_110,2.99,-4.83812740e+00,3.33260948e+00,-1.50551792e+00,3.363e-03,4.491e-07,1.073e-02,2.739e-02,0.088
cartesian12+facegl16,1728,1536,face_edge_110,8.00,-4.84373792e-01,2.12190266e-01,-2.72183526e-01,2.629e-03,2.204e-06,4.671e-03,2.143e-03,0.088
cartesian12+facegl16,1728,1536,corner_111,1.00,-8.48649670e+00,5.55097197e+00,-2.93552474e+00,3.039e-02,2.914e-06,8.309e-02,4.462e-01,0.088
cartesian12+facegl16,1728,1536,corner_111,2.99,-1.69666892e+00,1.45281737e+00,-2.43851548e-01,1.480e-03,5.648e-06,1.024e-02,4.232e-03,0.088
cartesian12+facegl16,1728,1536,corner_111,8.00,-2.40859623e-01,1.16220936e-01,-1.24638687e-01,9.359e-04,2.962e-06,1.810e-03,3.791e-04,0.086
cartesian12+facegl16,1728,1536,face_to_face_twist45,1.00,-2.17260789e+02,4.57003651e+01,-1.71560424e+02,4.589e-02,1.070e-06,5.742e-02,1.753e+01,0.090
cartesian12+facegl16,1728,1536,face_to_face_twist45,2.99,-2.04515271e+01,8.96438773e+00,-1.14871393e+01,1.795e-02,2.120e-07,3.152e-02,6.271e-01,0.091
cartesian12+facegl16,1728,1536,face_to_face_twist45,8.00,-1.37138632e+00,4.52296212e-01,-9.19090111e-01,5.387e-03,6.699e-07,8.017e-03,1.246e-02,0.087
cartesian16+facegl24,4096,3456,face_to_face_100,1.00,-2.19180859e+02,4.73232056e+01,-1.71857653e+02,2.999e-02,7.271e-08,3.794e-02,1.137e+01,0.436
cartesian16+facegl24,4096,3456,face_to_face_100,2.99,-2.05274961e+01,9.19131756e+00,-1.13361786e+01,5.213e-03,2.478e-08,9.401e-03,1.805e-01,0.510
cartesian16+facegl24,4096,3456,face_to_face_100,8.00,-1.37026536e+00,4.58169982e-01,-9.12095379e-01,1.557e-03,3.489e-09,2.338e-03,3.585e-03,0.549
cartesian16+facegl24,4096,3456,face_edge_110,1.00,-3.58394152e+01,1.46661439e+01,-2.11732713e+01,3.922e-03,7.694e-08,6.621e-03,2.367e-01,0.506
cartesian16+facegl24,4096,3456,face_edge_110,2.99,-4.82977015e+00,3.33260940e+00,-1.49716074e+00,1.727e-03,2.145e-08,5.551e-03,1.402e-02,0.491
cartesian16+facegl24,4096,3456,face_edge_110,8.00,-4.84002084e-01,2.12190269e-01,-2.71811814e-01,7.674e-04,1.698e-08,1.366e-03,6.235e-04,0.579
cartesian16+facegl24,4096,3456,corner_111,1.00,-8.53861041e+00,5.55097196e+00,-2.98763845e+00,6.141e-03,7.583e-10,1.775e-02,8.742e-02,0.578
cartesian16+facegl24,4096,3456,corner_111,2.99,-1.69636787e+00,1.45281742e+00,-2.43550448e-01,1.774e-04,3.479e-08,1.235e-03,5.051e-04,0.537
cartesian16+facegl24,4096,3456,corner_111,8.00,-2.40808197e-01,1.16220938e-01,-1.24587259e-01,2.135e-04,1.604e-08,4.126e-04,8.627e-05,0.595
cartesian16+facegl24,4096,3456,face_to_face_twist45,1.00,-2.12827867e+02,4.57003646e+01,-1.67127502e+02,2.040e-02,1.172e-08,2.584e-02,7.436e+00,0.573
cartesian16+facegl24,4096,3456,face_to_face_twist45,2.99,-2.03462482e+01,8.96438769e+00,-1.13818605e+01,5.148e-03,5.277e-09,9.165e-03,1.766e-01,0.563
cartesian16+facegl24,4096,3456,face_to_face_twist45,8.00,-1.36925209e+00,4.52296213e-01,-9.16955881e-01,1.556e-03,1.157e-09,2.322e-03,3.580e-03,0.497
cartesian20+facegl32,8000,6144,face_to_face_100,1.00,-2.17190118e+02,4.73232056e+01,-1.69866912e+02,9.083e-03,2.361e-11,1.158e-02,3.339e+00,1.931
cartesian20+facegl32,8000,6144,face_to_face_100,2.99,-2.04858699e+01,9.19131756e+00,-1.12945523e+01,2.028e-03,2.150e-12,3.672e-03,6.982e-02,1.995
cartesian20+facegl32,8000,6144,face_to_face_100,8.00,-1.36940679e+00,4.58169982e-01,-9.11236805e-01,6.266e-04,4.153e-12,9.413e-04,1.440e-03,1.924
cartesian20+facegl32,8000,6144,face_edge_110,1.00,-3.57495020e+01,1.46661439e+01,-2.10833581e+01,2.509e-03,2.837e-12,4.247e-03,1.508e-01,1.998
