R_nm,E_kcalmol_per_NC_axis,halfwidth_kcalmol
4.139641,-2.048984,0.035842
4.158718,-2.048984,0.035842
4.177795,-2.013142,0.071685
4.196871,-2.013142,0.071685
4.215948,-2.013142,0.071685
4.235025,-2.013142,0.071685
4.254101,-2.013142,0.071685
4.273178,-2.013142,0.071685
4.292255,-2.013142,0.071685
4.311332,-1.965352,0.023895
4.330408,-1.965352,0.023895
4.349485,-1.965352,0.023895
4.368562,-1.965352,0.023895
4.387638,-1.965352,0.023895
4.406715,-1.965352,0.023895
4.425792,-1.929510,0.059737
4.444868,-1.929510,0.059737
4.463945,-1.929510,0.059737
4.483022,-1.929510,0.059737
4.502098,-1.929510,0.059737
4.521175,-1.929510,0.059737
4.540252,-1.929510,0.059737
4.559329,-1.893668,0.023895
4.578405,-1.893668,0.023895
4.597482,-1.893668,0.023895
4.616559,-1.845878,0.071685
4.635635,-1.845878,0.071685
4.654712,-1.845878,0.071685
4.673789,-1.845878,0.071685
4.692865,-1.845878,0.071685
4.711942,-1.845878,0.071685
4.731019,-1.845878,0.071685
4.750095,-1.810036,0.035842
4.769172,-1.810036,0.035842
4.788249,-1.810036,0.035842
4.807325,-1.774194,0.071685
4.826402,-1.774194,0.071685
4.845479,-1.774194,0.071685
4.864556,-1.774194,0.071685
4.883632,-1.774194,0.071685
4.902709,-1.774194,0.071685
4.921786,-1.774194,0.071685
4.940862,-1.726404,0.023895
4.959939,-1.726404,0.023895
4.979016,-1.726404,0.023895
4.998092,-1.726404,0.023895
5.017169,-1.726404,0.023895
5.036246,-1.726404,0.023895
5.055322,-1.726404,0.023895
5.074399,-1.690562,0.059737
5.093476,-1.690562,0.059737
5.112552,-1.690562,0.059737
5.131629,-1.654719,0.023895
5.150706,-1.654719,0.023895
5.169783,-1.654719,0.023895
5.188859,-1.654719,0.023895
5.207936,-1.654719,0.023895
5.227013,-1.654719,0.023895
5.246089,-1.654719,0.023895
5.265166,-1.654719,0.023895
5.284243,-1.654719,0.023895
5.303319,-1.654719,0.023895
5.322396,-1.654719,0.023895
5.341473,-1.654719,0.023895
5.360549,-1.654719,0.023895
5.379626,-1.571087,0.035842
5.398703,-1.571087,0.035842
5.417779,-1.571087,0.035842
5.436856,-1.571087,0.035842
5.455933,-1.535245,0.071685
5.475010,-1.535245,0.071685
5.494086,-1.535245,0.071685
5.513163,-1.535245,0.071685
5.532240,-1.535245,0.071685
5.551316,-1.535245,0.071685
5.570393,-1.487455,0.023895
5.589470,-1.487455,0.023895
5.608546,-1.487455,0.023895
5.627623,-1.487455,0.023895
5.646700,-1.451613,0.059737
5.665776,-1.451613,0.059737
5.684853,-1.451613,0.059737
5.703930,-1.451613,0.059737
5.723006,-1.451613,0.059737
5.742083,-1.451613,0.059737
5.761160,-1.415771,0.023895
5.780237,-1.415771,0.023895
