observation_window_s,magnetic_energy_crossing_K,pair_total_energy_crossing_K
0.100000000,nan,nan
0.200000000,nan,nan
0.500000000,nan,293.675468367
1.000000000,290.067595187,283.720955005
2.000000000,280.503204975,274.410695357
5.000000000,268.785364126,262.989137561
10.000000000,260.549917948,254.951658319
20.000000000,252.802293851,247.382765237
50.000000000,243.237917670,238.029278431
75.000000000,239.231607215,234.107868376
100.000000000,236.467677906,231.401534593
