temperature_K,blocked_fraction,blocked_weight,vdw_kBT,dipole_kBT,epsilon_kBT,epsilon_unblocked_kBT,epsilon_frozen_kBT,vdw_choice,registration,registration_cost_kBT,epsilon_net_kBT,attraction,critical_attraction,dwell_s,size_cv,phi_dilute,phi_dense,two_phase
200.0,0.7142681357322256,0.5101789697223891,1.7685295207466243,7.530510374620079,5.4571318709592695,9.299039895366704,1.7685295207466243,inherited,none,0.0,5.4571318709592695,25.580305645121577,10.698996655518394,150.0,0.1,7.632047936151211e-05,0.4965721050621349,True
201.0,0.7086505802035399,0.5021856448228137,1.7597308664145515,7.4831806796022216,5.48496563110511,9.242911546016773,1.7597308664145515,inherited,none,0.0,5.48496563110511,25.7107763958052,10.698996655518394,150.0,0.1,7.151336985394817e-05,0.49764826929672323,True
202.0,0.703010155441879,0.4942232786544148,1.7510193274719053,7.436329086220687,5.512141471547417,9.187348413692593,1.7510193274719053,inherited,none,0.0,5.512141471547417,25.838163147878518,10.698996655518394,150.0,0.1,6.710382015409629e-05,0.49869031391442037,True
203.0,0.6973483950303468,0.4862947840514007,1.7423936164991372,7.3899486119286495,5.538648764038996,9.132342228427786,1.7423936164991372,inherited,none,0.0,5.538648764038996,25.962416081432792,10.698996655518394,150.0,0.1,6.305739722544864e-05,0.49969858040831044,True
204.0,0.6916668271654529,0.4784029998011245,1.73385247132022,7.344032410298298,5.564477745895129,9.077884881618518,1.73385247132022,inherited,none,0.0,5.564477745895129,26.083489433883415,10.698996655518394,150.0,0.1,5.934274727605771e-05,0.5006734200488646,True
205.0,0.6859669735299387,0.47055068877382367,1.7253946543869505,7.298573767694063,5.589619508626011,9.023968422081014,1.7253946543869505,inherited,none,0.0,5.589619508626011,26.201341446684427,10.698996655518394,150.0,0.1,5.5931330859325306e-05,0.501615192774524,True
206.0,0.6802503481951869,0.46274053621967304,1.7170189521811885,7.25356610004319,5.61406598558555,8.97058505222438,1.7170189521811885,inherited,none,0.0,5.61406598558555,26.315934307432265,10.698996655518394,150.0,0.1,5.279717826880974e-05,0.5025242661605549,True
207.0,0.6745184565036051,0.4549751481640058,1.7087241746344195,7.209002949700321,5.637809939180082,8.917727124334741,1.7087241746344195,inherited,none,0.0,5.637809939180082,26.427234089906637,10.698996655518394,150.0,0.1,4.991666411504711e-05,0.5034010144792769,True
208.0,0.6687727940050027,0.44725705000125776,1.7005091545640616,7.164877982402959,5.660844946938509,8.865387136967021,1.7005091545640616,inherited,none,0.0,5.660844946938509,26.535210688774256,10.698996655518394,150.0,0.1,4.7268300095476344e-05,0.5042458178186773,True
209.0,0.6630148454859406,0.43958868533474565,1.6923727471259564,7.121184984314705,5.683165386160228,8.81355773144066,1.6923727471259564,inherited,none,0.0,5.683165386160228,26.63983774762607,10.698996655518394,150.0,0.1,4.483254486764094e-05,0.5050590612432231,True
210.0,0.657246084014522,0.4319724149524241,1.6843138292824995,7.07791785915338,5.704766417982503,8.762231688435879,1.6843138292824995,inherited,none,0.0,5.704766417982503,26.74109258429298,10.698996655518394,150.0,0.1,4.259162981491301e-05,0.5058411340221924,True
211.0,0.6514679699711952,0.42441051589839,1.6763312992858999,7.035070625401183,5.7256439711789575,8.711401924687083,1.6763312992858999,inherited,none,0.0,5.7256439711789575,26.838956114901364,10.698996655518394,150.0,0.1,4.05293995997117e-05,0.506592428930374,True
212.0,0.6456819501449462,0.41690518074298083,1.6684240761760607,6.992637413594172,5.745794724985624,8.661061489770232,1.6684240761760607,inherited,none,0.0,5.745794724985624,26.93341277337011,10.698996655518394,150.0,0.1,3.863116652831232e-05,0.5073133415898345,True
213.0,0.6398894569176259,0.40945851707433417,1.660591099292605,6.950612463688452,5.765216090840799,8.611203562981057,1.660591099292605,inherited,none,0.0,5.765216090840799,27.024450425816244,10.698996655518394,150.0,0.1,3.688357770835316e-05,0.5080042698437247,True
214.0,0.6340919074567948,0.4020725471021964,1.6528313278005835,6.908990122500556,5.783906193843425,8.561821450301139,1.6528313278005835,inherited,none,0.0,5.783906193843425,27.112060283641053,10.698996655518394,150.0,0.1,3.5274493945621684e-05,0.5086656131860485,True
215.0,0.6282907028983081,0.3947492073484501,1.645143740229418,6.867764841219585,5.8018638541220175,8.512908581449002,1.645143740229418,inherited,none,0.0,5.8018638541220175,27.196236816196954,10.698996655518394,150.0,0.1,3.379287944968024e-05,0.5092977722487391,True
216.0,0.6224872275970742,0.38749034852149167,1.6375273340246521,6.826931172988796,5.819088567459783,8.464458507013449,1.6375273340246521,inherited,none,0.0,5.819088567459783,27.27697765996773,10.698996655518394,150.0,0.1,3.2428701536201494e-05,0.5099011483179434,True
217.0,0.6166828484626815,0.3802977355880466,1.6299811251120961,6.786483770554345,5.835580485119596,8.416464895666442,1.6299811251120961,inherited,none,0.0,5.835580485119596,27.354283523998106,10.698996655518394,150.0,0.1,3.11728395027637e-05,0.5104761428734664,True
218.0,0.6108789143024113,0.37317304793929273,1.6225041474739672,6.746417383979076,5.851340393602942,8.368921531453044,1.6225041474739672,inherited,none,0.0,5.851340393602942,27.42815809501379,10.698996655518394,150.0,0.1,3.001700185119314e-05,0.5110231571728588,True
219.0,0.6050767551535574,0.3661178796271581,1.6150954527366432,6.706726858419228,5.866369694512913,8.321822311155872,1.6150954527366432,inherited,none,0.0,5.866369694512913,27.498607943029278,10.698996655518394,150.0,0.1,2.8953651137591893e-05,0.5115425918816225,True
220.0,0.5992776816796592,0.359133739759347,1.6077541097696584,6.667407131962057,5.880670383932039,8.275161241731716,1.6077541097696584,inherited,none,0.0,5.880670383932039,27.565642424681435,10.698996655518394,150.0,0.1,2.7975935834108827e-05,0.5120348467249816,True
221.0,0.5934829846507601,0.35222205306997434,1.6004792042955875,6.628453233522458,5.894245031228455,8.228932437818045,1.6004792042955875,inherited,none,0.0,5.894245031228455,27.629273583883386,10.698996655518394,150.0,0.1,2.707762859075955e-05,0.5125003201547685,True
222.0,0.5876939344350327,0.3453841605717285,1.5932698385104724,6.589860280796684,5.907096757939218,8.183130119307156,1.5932698385104724,inherited,none,0.0,5.907096757939218,27.689516052840084,10.698996655518394,150.0,0.1,2.6253070286233144e-05,0.5129394090504008,True
223.0,0.5819117804758971,0.33862132025662867,1.5861251307144613,6.551623478271398,5.919229216949273,8.13774860898586,1.5861251307144613,inherited,none,0.0,5.919229216949273,27.74638695444972,10.698996655518394,150.0,0.1,2.5497119338631442e-05,0.51335250845776,True
224.0,0.576137750822298,0.33193470792257634,1.5790442149523432,6.513738115286292,5.930646571456927,8.092782330238634,1.5790442149523432,inherited,none,0.0,5.930646571456927,27.79990580370435,10.698996655518394,150.0,0.1,2.4805105834600023e-05,0.5137400113452583,True
225.0,0.5703730517431448,0.3253254181547881,1.572026240663666,6.476199564148609,5.941353473551772,8.048225804812276,1.572026240663666,inherited,none,0.0,5.941353473551772,27.850094407273932,10.698996655518394,150.0,0.1,2.417279004782361e-05,0.5141023083683262,True
226.0,0.5646188673623757,0.31879446538157197,1.5650703723421453,6.439003278297972,5.951355042944925,8.004073650640118,1.5650703723421453,inherited,none,0.0,5.951355042944925,27.896976763804336,10.698996655518394,150.0,0.1,2.3596324913218728e-05,0.5144397876579625,True
227.0,0.5588763592751023,0.3123427849565932,1.5581757892040742,6.402144790519926,5.9606568461576614,7.960320579724,1.5581757892040742,inherited,none,0.0,5.9606568461576614,27.940578966364036,10.698996655518394,150.0,0.1,2.3072222077402087e-05,0.5147528346408158,True
228.0,0.5531466661998681,0.30597123432802825,1.55134168486546,6.365619711206716,5.96926487577143,7.9169613960721765,1.55134168486546,inherited,none,0.0,5.96926487577143,27.980929105178582,10.698996655518394,150.0,0.1,2.2597321218738468e-05,0.5150418318747279,True
229.0,0.5474309037128464,0.2996805943398637,1.5445672670276194,6.329423726663843,5.977185529456007,7.8739909936914625,1.5445672670276194,inherited,none,0.0,5.977185529456007,28.018057169325026,10.698996655518394,150.0,0.1,2.2168762349398478e-05,0.5153071588879397,True
230.0,0.5417301640169478,0.29347157060582924,1.5378517571709776,6.293552597461013,5.984425589164711,7.8314043546319905,1.5378517571709776,inherited,none,0.0,5.984425589164711,28.05199494920958,10.698996655518394,150.0,0.1,2.178396080194816e-05,0.5155491920328965,True
231.0,0.536045515691428,0.287344794892889,1.5311943902568175,6.258002156826085,5.990992200890454,7.789196547082902,1.5311943902568175,inherited,none,0.0,5.990992200890454,28.082775941674004,10.698996655518394,150.0,0.1,2.1440584631436315e-05,0.5157683043656642,True
232.0,0.530378003455743,0.2813008265497002,1.524594414436745,6.222768309080757,5.996892854745805,7.747362723517502,1.524594414436745,inherited,none,0.0,5.996892854745805,28.110435256620956,10.698996655518394,150.0,0.1,2.1136534221504262e-05,0.5159648655409579,True
233.0,0.5247286480061835,0.2753401540383972,1.5180510907696345,6.187847028116731,6.002135364998666,7.705898118886365,1.5180510907696345,inherited,none,0.0,6.002135364998666,28.135009523431247,10.698996655518394,150.0,0.1,2.086992390867375e-05,0.5161392417086896,True
234.0,0.5190984459041625,0.26946319654011675,1.5115636929458327,6.153234355911091,6.006727850252655,7.664798048856924,1.5115636929458327,inherited,none,0.0,6.006727850252655,28.156536798059317,10.698996655518394,150.0,0.1,2.063906542860505e-05,0.516291795416723,True
235.0,0.5134883694531153,0.263670305563619,1.5051315070184035,6.11892640107978,6.010678714204183,7.624057908098184,1.5051315070184035,inherited,none,0.0,6.010678714204183,28.17505647283211,10.698996655518394,150.0,0.1,2.044245299510403e-05,0.516422885532598,True
236.0,0.5078993665676181,0.25796176655978775,1.498753831141207,6.084919337468004,6.013996626942151,7.583673168609211,1.498753831141207,inherited,none,0.0,6.013996626942151,28.19060918879133,10.698996655518394,150.0,0.1,2.027874986320471e-05,0.5165328671815372,True
237.0,0.5023323606953759,0.25233780060178923,1.492429975313607,6.051209402776469,6.016690506412596,7.543639378090076,1.492429975313607,inherited,none,0.0,6.016690506412596,28.203236748809047,10.698996655518394,150.0,0.1,2.0146776258299563e-05,0.5166220916868377,True
238.0,0.4967882508036804,0.24679856613658044,1.486159261131617,6.017792897222413,6.01876950001264,7.50395215835403,1.486159261131617,inherited,none,0.0,6.01876950001264,28.212982031309252,10.698996655518394,150.0,0.1,2.004549854875549e-05,0.5166909065102584,True
239.0,0.49126791137360254,0.24134416074538179,1.4799410215452922,5.984666182234382,6.020242966687049,7.464607203779674,1.4799410215452922,inherited,none,0.0,6.020242966687049,28.219888906345542,10.698996655518394,150.0,0.1,1.997401953198265e-05,0.5167396552036251,True
240.0,0.4857721923726246,0.2359746228825062,1.473774600622187,5.951825679179778,6.0211204596951005,7.425600279801965,1.473774600622187,inherited,none,0.0,6.0211204596951005,28.22400215482078,10.698996655518394,150.0,0.1,1.9931569725488665e-05,0.5167686773761059,True
241.0,0.48030191925023985,0.23068993363546392,1.4676593533167008,5.919267868124213,6.021411709772805,7.386927221440914,1.4676593533167008,inherited,none,0.0,6.021411709772805,28.225367389560017,10.698996655518394,150.0,0.1,1.9917499585452708e-05,0.5167783086669839,True
242.0,0.4748578929977133,0.22549001854222775,1.461594645245144,5.886989286621755,6.021126608468664,7.348583931866899,1.461594645245144,inherited,none,0.0,6.021126608468664,28.22403097719686,10.698996655518394,150.0,0.1,1.9931272581374504e-05,0.5167688807164206,True
243.0,0.46944089024130264,0.22037474943054675,1.4555798524663575,5.854986528535153,6.020275191856348,7.31056638100151,1.4555798524663575,inherited,none,0.0,6.020275191856348,28.220039961826632,10.698996655518394,150.0,0.1,1.997245904257709e-05,0.5167407211380769,True
244.0,0.46405166331741604,0.21534394622766045,1.4496143612677248,5.8232562428852,6.018867624915165,7.272870604152924,1.4496143612677248,inherited,none,0.0,6.018867624915165,28.213441991789832,10.698996655518394,150.0,0.1,2.0040730696428058e-05,0.516694153505922,True
