geometry,temperature_K,window_s,center_distance_nm,rotation_mobility,extra_contact_barrier_kBT,tau_B_free_s,tau_joint_s,hexane_viscosity_Pa_s,Udd_time_mean_J,Udd_end_J,Udd_eq_J,Udd_initial_J,Neel_only_Udd_time_mean_J,vdW_J,Brownian_max_transition_barrier_J,detailed_balance_relative_error,kBT_J,Udd_time_mean_kBT,Udd_end_kBT,Udd_eq_kBT,Udd_initial_kBT,Neel_only_Udd_time_mean_kBT,vdW_kBT,Brownian_max_transition_barrier_kBT,kBT_kBT
face,210.0,20.0,19.0,1.0,0.0,3.3294608039415905e-06,0.03092802169540826,0.0008959748187630963,-2.6215455943128926e-20,-2.6215460375098637e-20,-2.6215460375098637e-20,0.0,-9.472737465800664e-22,-4.8834370285786125e-21,2.6490341049134006e-20,4.502332598615716e-17,2.8993629e-21,-9.041798783839349,-9.041800312440584,-9.041800312440584,0.0,-0.3267178960522901,-1.6843138292824995,9.13660757993903,1.0
face,211.0,20.0,19.0,1.0,0.0,3.263749703624022e-06,0.029032838213133325,0.0008824739688855123,-2.6209438476127548e-20,-2.6209442818749595e-20,-2.6209442818749607e-20,0.0,-1.061454165962341e-21,-4.8834370285786125e-21,2.6490341049134006e-20,2.867464090163965e-17,2.91316939e-21,-8.996881048557066,-8.996882539243485,-8.996882539243488,0.0,-0.36436403925085215,-1.6763312992858999,9.0933061222142,1.0
face,212.0,20.0,19.0,1.0,0.0,3.199608789302608e-06,0.02726725090929361,0.0008692312769332172,-2.620334785328237e-20,-2.6203352108706697e-20,-2.6203352108706718e-20,0.0,-1.187318485887202e-21,-4.8834370285786125e-21,2.6490341049134006e-20,3.6744243157182857e-17,2.92697588e-21,-8.95236207183312,-8.952363525696938,-8.952363525696946,0.0,-0.40564682954859266,-1.6684240761760607,9.050413168807529,1.0
face,213.0,20.0,19.0,1.0,0.0,3.136996437907761e-06,0.02562154036229578,0.0008562414182702758,-2.6197184157040266e-20,-2.6197188327359596e-20,-2.619718832735963e-20,0.0,-1.3257406627812201e-21,-4.8834370285786125e-21,2.6490341049134006e-20,4.6600169946430553e-17,2.94078237e-21,-8.908236265385481,-8.90823768348407,-8.908237683484082,0.0,-0.4508122315699343,-1.660591099292605,9.007922966137071,1.0
face,214.0,20.0,19.0,1.0,0.0,3.0758721565197892e-06,0.024086776801109776,0.0008434991648307758,-2.6190947478793846e-20,-2.6190951566045254e-20,-2.6190951566045247e-20,0.0,-1.4776089825777334e-21,-4.8834370285786125e-21,2.6490341049134006e-20,3.7368049361927907e-17,2.95458886e-21,-8.864498148413734,-8.86449953177081,-8.864499531770809,0.0,-0.5001064623853396,-1.6528313278005835,8.965829868164468,1.0
face,215.0,20.0,19.0,1.0,0.0,3.01619655523131e-06,0.02265475125135933,0.0008309993848832561,-2.6184637918705742e-20,-2.6184641924872155e-20,-2.6184641924872164e-20,0.0,-1.6438172969000128e-21,-4.8834370285786125e-21,2.6490341049134006e-20,1.6278697604981566e-17,2.96839535e-21,-8.821142345040306,-8.821143694647061,-8.821143694647063,0.0,-0.5537730332652666,-1.645143740229418,8.924128333893936,1.0
face,216.0,20.0,19.0,1.0,0.0,2.9579313202561624e-06,0.02131791307837361,0.0008187370426547131,-2.6178255585533394e-20,-2.6178259512545085e-20,-2.6178259512545097e-20,0.0,-1.825254968598294e-21,-4.8834370285786125e-21,2.6490341049134006e-20,3.5903974608837824e-17,2.98220184e-21,-8.77816358182295,-8.77816489863915,-8.778164898639153,0.0,-0.6120494408246673,-1.6375273340246521,8.882812924940723,1.0
face,217.0,20.0,19.0,1.0,0.0,2.901039187324292e-06,0.020069313296675103,0.0008067071978273672,-2.6171800596454535e-20,-2.6171804446190587e-20,-2.6171804446190563e-20,0.0,-2.022795623981337e-21,-4.8834370285786125e-21,2.6490341049134006e-20,2.737644040814127e-17,2.99600833e-21,-8.73555668533623,-8.735557970291286,-8.735557970291278,0.0,-0.6751635513581289,-1.6299811251120961,8.841878303166801,1.0
face,218.0,20.0,19.0,1.0,0.0,2.845483915397124e-06,0.018902553082592817,0.0007949050049204039,-2.6165273076893465e-20,-2.6165276851183143e-20,-2.616527685118316e-20,0.0,-2.23728487975451e-21,-4.8834370285786125e-21,2.6490341049134006e-20,4.6012689650936646e-17,3.00981482e-21,-8.69331657981984,-8.693317833813824,-8.693317833813829,0.0,-0.743329744038708,-1.6225041474739672,8.801319228381633,1.0
face,219.0,20.0,19.0,1.0,0.0,2.791230260733629e-06,0.017811736984031684,0.000783325712568036,-2.615867316034813e-20,-2.6158676860972296e-20,-2.6158676860972317e-20,0.0,-2.4695272882687566e-21,-4.8834370285786125e-21,2.6490341049134006e-20,4.135661196356639e-17,3.02362131e-21,-8.651438284891611,-8.651439508796257,-8.651439508796264,0.0,-0.8167449012550968,-1.6150954527366432,8.761130556105918,1.0
face,220.0,20.0,19.0,1.0,0.0,2.738243951333194e-06,0.01679143037339853,0.0007719646627043969,-2.6152000988218157e-20,-2.6152004616910603e-20,-2.6152004616910618e-20,0.0,-2.720272819888763e-21,-4.8834370285786125e-21,2.6490341049134006e-20,3.686774324732658e-17,3.0374278e-21,-8.609916913323225,-8.60991810798288,-8.609918107982885,0.0,-0.8955843559108674,-1.6077541097696584,8.721307235396345,1.0
face,221.0,20.0,19.0,1.0,0.0,2.6864916617777424e-06,0.015836620735478788,0.0007608172896649979,-2.6145256709633947e-20,-2.6145260268082682e-20,-2.6145260268082682e-20,0.0,-2.9902032683936517e-21,-4.8834370285786125e-21,2.6490341049134006e-20,3.2540308924143406e-17,3.05123429e-21,-8.568747668876632,-8.568748835109178,-8.568748835109178,0.0,-0.9799979235267612,-1.6004792042955875,8.681844306729394,1.0
face,222.0,20.0,19.0,1.0,0.0,2.6359409884922465e-06,0.01494268242418135,0.0007498791192137826,-2.6138440481286724e-20,-2.6138443971135273e-20,-2.6138443971135264e-20,0.0,-3.279919015395157e-21,-4.8834370285786125e-21,2.6490341049134006e-20,3.900701332420054e-17,3.06504078e-21,-8.527925844199281,-8.527926982797036,-8.527926982797032,0.0,-1.0701061587164777,-1.5932698385104724,8.642736899942324,1.0
face,223.0,20.0,19.0,1.0,0.0,2.586560425439698e-06,0.014105344558634506,0.0007391457675041158,-2.613155246725989e-20,-2.6131555890108498e-20,-2.6131555890108498e-20,0.0,-3.5899266123040206e-21,-4.8834370285786125e-21,2.6490341049134006e-20,4.5217065759814347e-17,3.0788472700000002e-21,-8.487446818776395,-8.487447930506958,-8.487447930506958,0.0,-1.1659969779222015,-1.5861251307144613,8.603980232229578,1.0
face,224.0,20.0,19.0,1.0,0.0,2.5383193402637963e-06,0.013320661761999492,0.0007286129399814142,-2.6124592838861478e-20,-2.6124596196268362e-20,-2.6124596196268362e-20,0.0,-3.920627623101982e-21,-4.8834370285786125e-21,2.6490341049134006e-20,5.800361027916801e-17,3.0926537600000002e-21,-8.447306056938451,-8.447307142545553,-8.447307142545553,0.0,-1.2677227802901485,-1.5790442149523432,8.56556960619284,1.0
