temperature_K,face_twist_halfwidth_deg,tip_minus_face_magnetic_rotation_kBT,tip_minus_face_nominal_vdW_kBT,pure_geometric_tip_advantage_kBT,combined_sampling_SE_kBT
200.0,1.0,-2.1349756648158937,1.0355838947137403,8.1886891244442,0.0002483842035195017
205.0,1.0,-2.298518392811479,0.7947104457540171,8.1886891244442,0.000366695549148215
210.0,1.0,-2.455563382986238,0.5640171498991275,8.1886891244442,0.000406039787644539
215.0,1.0,-2.6068254484555933,0.34253228133941427,8.1886891244442,0.00025662066738170973
220.0,1.0,-2.7517839088691183,0.13054296343054972,8.1886891244442,0.0003700167570413192
225.0,1.0,-2.890572349265618,-0.07229718523927708,8.1886891244442,0.00018359280611002078
230.0,1.0,-3.0245620017772463,-0.26755368914278144,8.1886891244442,0.00031279991018452676
235.0,1.0,-3.1535274151218786,-0.4551788538200636,8.1886891244442,0.0005134270218692396
240.0,1.0,-3.2771809844914994,-0.6350480182168052,8.1886891244442,0.00023319502567189604
245.0,1.0,-3.3966319058842576,-0.8084200205539442,8.1886891244442,0.0002061617949862503
250.0,1.0,-3.5116177833590427,-0.9751701357353362,8.1886891244442,0.0003542242958886365
255.0,1.0,-3.622708099463111,-1.1359947194398696,8.1886891244442,0.00014081808921996694
260.0,1.0,-3.7297414176505193,-1.2908494487815698,8.1886891244442,0.00014136287191386917
265.0,1.0,-3.8329994018263456,-1.4401242625586974,8.1886891244442,0.00019665991725066042
270.0,1.0,-3.9328258314864897,-1.584263194797872,8.1886891244442,0.000315275551566861
275.0,1.0,-4.029500368835542,-1.7236388709958081,8.1886891244442,0.0003362647594293407
280.0,1.0,-4.1226627841534835,-1.857977384489459,8.1886891244442,0.0001584751229656603
285.0,1.0,-4.212782103121359,-1.987828026258459,8.1886891244442,0.00019990988611730574
290.0,1.0,-4.299731380378697,-2.1131385807030885,8.1886891244442,0.0002593673032233059
295.0,1.0,-4.383837651199583,-2.23430574643373,8.1886891244442,0.0002543730880521628
300.0,1.0,-4.466006412650321,-2.352300039630565,8.1886891244442,0.00024458750065115616
200.0,2.0,-0.7499306394718275,2.4206289200578066,6.802394763324311,0.0002505590279927386
205.0,2.0,-0.9134418443575516,2.1797869942079444,6.802394763324311,0.00036704560239398423
210.0,2.0,-1.0704330948251979,1.9491474380601677,6.802394763324311,0.0004104697009151041
215.0,2.0,-1.2216788517512196,1.727678878043788,6.802394763324311,0.000255030685443259
220.0,2.0,-1.3665792752021435,1.5157475970975227,6.802394763324311,0.00036050753787444917
225.0,2.0,-1.50531568464584,1.3129594793805008,6.802394763324311,0.00017815886894488895
230.0,2.0,-1.6392562746368249,1.11775203799764,6.802394763324311,0.0003143240247519994
235.0,2.0,-1.7681795836422154,0.9301689776595996,6.802394763324311,0.0005064241718326934
240.0,2.0,-1.891808689212441,0.7503242770622531,6.802394763324311,0.00023622338343638738
245.0,2.0,-2.011229637970379,0.5769822473599344,6.802394763324311,0.00020788284077878245
250.0,2.0,-2.1261757577227094,0.41027188990099717,6.802394763324311,0.0003532638953144118
255.0,2.0,-2.2372452514343486,0.24946812858889267,6.802394763324311,0.00014580987847037874
260.0,2.0,-2.344255358607974,0.09463661026097547,6.802394763324311,0.0001418164081583363
265.0,2.0,-2.4474820587875534,-0.05460691951990526,6.802394763324311,0.00019583305844507898
270.0,2.0,-2.547269283937082,-0.1987066472484642,6.802394763324311,0.0003167331095675666
275.0,2.0,-2.643928614633328,-0.338067116793594,6.802394763324311,0.00033993226550434213
280.0,2.0,-2.7370698792997494,-0.47238447963572483,6.802394763324311,0.00016165377173783262
285.0,2.0,-2.8271682239232696,-0.6022141470603692,6.802394763324311,0.00019456694559931727
290.0,2.0,-2.914090205107394,-0.7274974054317855,6.802394763324311,0.00025291090295621855
295.0,2.0,-2.998177378548002,-0.8486454737821489,6.802394763324311,0.00025087885376891674
300.0,2.0,-3.0803120764780196,-0.9666057034582636,6.802394763324311,0.0002517360567913227
200.0,5.0,1.07406158689742,4.244621146427054,4.969813299576001,0.00025679764118727224
205.0,5.0,0.9108211884678301,4.004050027033326,4.969813299576001,0.0003682792835926924
210.0,5.0,0.7541551850544277,3.7737357179397932,4.969813299576001,0.00042379719019331136
215.0,5.0,0.6031208320579946,3.552478561853002,4.969813299576001,0.0002612862150119482
220.0,5.0,0.4585486516091706,3.3408755239088377,4.969813299576001,0.00033516854294002524
225.0,5.0,0.3201194494951327,3.1383946135214735,4.969813299576001,0.00016542755518699455
230.0,5.0,0.18646908549674635,2.9434773981312112,4.969813299576001,0.00032405727439933414
235.0,5.0,0.057811943755684325,2.7561605050574993,4.969813299576001,0.00048671046957140136
240.0,5.0,-0.0656119293464581,2.576521036928236,4.969813299576001,0.00024708246340680347
245.0,5.0,-0.18481521452889815,2.403396670801415,4.969813299576001,0.00021175233366434732
250.0,5.0,-0.29951437400568004,2.2369332736180265,4.969813299576001,0.0003522650258701287
255.0,5.0,-0.41039711537427337,2.076316264648968,4.969813299576001,0.00016198915784088633
260.0,5.0,-0.5172195673271069,1.9216724015418425,4.969813299576001,0.0001476714021574225
265.0,5.0,-0.6202446551739804,1.7726304840936677,4.969813299576001,0.0001931510850510271
270.0,5.0,-0.7198091504770314,1.6287534862115862,4.969813299576001,0.0003207523032046367
275.0,5.0,-0.8163176739145435,1.4895438239251906,4.969813299576001,0.00035085826387155135
280.0,5.0,-0.9092957275796056,1.355389672084419,4.969813299576001,0.00017345303642568553
285.0,5.0,-0.999234357661722,1.2257197192011784,4.969813299576001,0.00017997334831246383
290.0,5.0,-1.0859815950977882,1.1006112045778202,4.969813299576001,0.00023537156828531646
295.0,5.0,-1.1699244647279876,0.9796074400378654,4.969813299576001,0.0002409780381541884
300.0,5.0,-1.2518710268885496,0.8618353461312065,4.969813299576001,0.0002725925653749642
200.0,10.0,2.4312554390517693,5.601814998581403,3.58351893845611,0.0002649585455895968
205.0,10.0,2.269014281488266,5.362243120053762,3.58351893845611,0.00037312815169532717
210.0,10.0,2.1133859453890818,5.132966478274447,3.58351893845611,0.0004402381393909087
215.0,10.0,1.9632099247248576,4.912567654519865,3.58351893845611,0.00029747461734966064
220.0,10.0,1.8196583836185578,4.701985255918225,3.58351893845611,0.0003008998119271739
225.0,10.0,1.6822090469189082,4.500484210945249,3.58351893845611,0.00015976539937540596
230.0,10.0,1.5494820794663244,4.306490392100789,3.58351893845611,0.0003554416147889232
235.0,10.0,1.421697426042634,4.120045987344449,3.58351893845611,0.00046076326497401825
240.0,10.0,1.2990197813817854,3.9411527476564805,3.58351893845611,0.0002690542546961629
245.0,10.0,1.1805739957766743,3.7687858811069876,3.58351893845611,0.00021262521849618605
250.0,10.0,1.0666757845200632,3.6031234321437697,3.58351893845611,0.0003524329046993391
255.0,10.0,0.9564917495268652,3.4432051295501065,3.58351893845611,0.00019073768616320933
260.0,10.0,0.8503464420588642,3.2892384109278137,3.58351893845611,0.00017341562292276202
265.0,10.0,0.7479892371679941,3.1408643764356423,3.58351893845611,0.0001905076435972944
270.0,10.0,0.6491171060509036,2.997679742739521,3.58351893845611,0.00032653378155623043
275.0,10.0,0.5531831954958797,2.8590446933356137,3.58351893845611,0.00037107553425651404
280.0,10.0,0.4607858835836538,2.7254712832476784,3.58351893845611,0.00019884965459984852
285.0,10.0,0.37141174536477806,2.5963658222276784,3.58351893845611,0.00016122490622663517
290.0,10.0,0.2852414285321334,2.471834228207742,3.58351893845611,0.00021081591187541827
295.0,10.0,0.20180708928693747,2.3513389940527905,3.58351893845611,0.00022464608869275074
300.0,10.0,0.12043343932254302,2.234139812342299,3.58351893845611,0.00030176802654784395
