gap_nm,U_attr_kcalmol,U_rep_kcalmol,U_pair_kcalmol,U_pair_per_particle_kcalmol,U_pair_kBT_300K,figure_kcalmol
13.8000,-8.898537e-02,4.903793e-03,-8.408157e-02,-4.204079e-02,-1.410383e-01,-2.210270e-01
14.0000,-8.436915e-02,4.509201e-03,-7.985995e-02,-3.992998e-02,-1.339570e-01,-1.732380e-01
14.2000,-8.003630e-02,4.150306e-03,-7.588600e-02,-3.794300e-02,-1.272911e-01,-1.732380e-01
14.4000,-7.596669e-02,3.823529e-03,-7.214316e-02,-3.607158e-02,-1.210128e-01,-1.732380e-01
14.6000,-7.214179e-02,3.525683e-03,-6.861611e-02,-3.430806e-02,-1.150966e-01,-1.732380e-01
14.8000,-6.854460e-02,3.253930e-03,-6.529067e-02,-3.264534e-02,-1.095185e-01,-1.732380e-01
15.0000,-6.515943e-02,3.005735e-03,-6.215370e-02,-3.107685e-02,-1.042565e-01,-1.373950e-01
15.2000,-6.197183e-02,2.778833e-03,-5.919300e-02,-2.959650e-02,-9.929024e-02,-1.373950e-01
15.4000,-5.896847e-02,2.571200e-03,-5.639727e-02,-2.819863e-02,-9.460069e-02,-1.373950e-01
15.6000,-5.613704e-02,2.381021e-03,-5.375602e-02,-2.687801e-02,-9.017026e-02,-1.373950e-01
15.8000,-5.346616e-02,2.206667e-03,-5.125950e-02,-2.562975e-02,-8.598260e-02,-1.373950e-01
16.0000,-5.094533e-02,2.046679e-03,-4.889865e-02,-2.444932e-02,-8.202251e-02,-1.373950e-01
16.2000,-4.856479e-02,1.899744e-03,-4.666504e-02,-2.333252e-02,-7.827587e-02,-1.015530e-01
16.4000,-4.631553e-02,1.764680e-03,-4.455086e-02,-2.227543e-02,-7.472954e-02,-1.015530e-01
16.6000,-4.418920e-02,1.640422e-03,-4.254878e-02,-2.127439e-02,-7.137126e-02,-1.015530e-01
16.8000,-4.217804e-02,1.526012e-03,-4.065203e-02,-2.032601e-02,-6.818965e-02,-1.015530e-01
17.0000,-4.027484e-02,1.420584e-03,-3.885426e-02,-1.942713e-02,-6.517407e-02,-1.015530e-01
17.2000,-3.847292e-02,1.323355e-03,-3.714956e-02,-1.857478e-02,-6.231462e-02,-1.015530e-01
