gap_nm,U_attr_kcalmol,U_rep_kcalmol,U_pair_kcalmol,U_pair_per_particle_kcalmol,U_pair_kBT_300K,figure_kcalmol
14.2000,-1.807303e-01,3.549326e-02,-1.452370e-01,-7.261852e-02,-2.436204e-01,-1.732380e-01
14.4000,-1.717996e-01,3.312441e-02,-1.386752e-01,-6.933758e-02,-2.326135e-01,-1.732380e-01
14.6000,-1.633867e-01,3.093353e-02,-1.324531e-01,-6.622656e-02,-2.221767e-01,-1.732380e-01
14.8000,-1.554571e-01,2.890592e-02,-1.265512e-01,-6.327558e-02,-2.122767e-01,-1.732380e-01
15.0000,-1.479790e-01,2.702790e-02,-1.209511e-01,-6.047555e-02,-2.028832e-01,-1.373950e-01
15.2000,-1.409229e-01,2.528723e-02,-1.156357e-01,-5.781784e-02,-1.939671e-01,-1.373950e-01
15.4000,-1.342615e-01,2.367290e-02,-1.105886e-01,-5.529429e-02,-1.855011e-01,-1.373950e-01
15.6000,-1.279694e-01,2.217467e-02,-1.057947e-01,-5.289736e-02,-1.774599e-01,-1.373950e-01
15.8000,-1.220231e-01,2.078367e-02,-1.012395e-01,-5.061974e-02,-1.698189e-01,-1.373950e-01
16.0000,-1.164009e-01,1.949094e-02,-9.691001e-02,-4.845500e-02,-1.625567e-01,-1.373950e-01
16.2000,-1.110825e-01,1.828878e-02,-9.279374e-02,-4.639687e-02,-1.556521e-01,-1.015530e-01
16.4000,-1.060491e-01,1.717013e-02,-8.887892e-02,-4.443946e-02,-1.490854e-01,-1.015530e-01
16.6000,-1.012830e-01,1.612854e-02,-8.515449e-02,-4.257724e-02,-1.428380e-01,-1.015530e-01
16.8000,-9.676815e-02,1.515822e-02,-8.160993e-02,-4.080496e-02,-1.368924e-01,-1.015530e-01
17.0000,-9.248923e-02,1.425401e-02,-7.823523e-02,-3.911761e-02,-1.312316e-01,-1.015530e-01
17.2000,-8.843214e-02,1.341061e-02,-7.502153e-02,-3.751077e-02,-1.258410e-01,-1.015530e-01
17.4000,-8.458368e-02,1.262364e-02,-7.196004e-02,-3.598002e-02,-1.207057e-01,-1.015530e-01
17.6000,-8.093156e-02,1.188868e-02,-6.904288e-02,-3.452144e-02,-1.158124e-01,-5.376300e-02
17.8000,-7.746428e-02,1.120193e-02,-6.626235e-02,-3.313117e-02,-1.111484e-01,-5.376300e-02
18.0000,-7.417111e-02,1.055989e-02,-6.361123e-02,-3.180561e-02,-1.067014e-01,-5.376300e-02
18.2000,-7.104204e-02,9.959309e-03,-6.108274e-02,-3.054137e-02,-1.024601e-01,-5.376300e-02
18.4000,-6.806769e-02,9.397194e-03,-5.867050e-02,-2.933525e-02,-9.841380e-02,-5.376300e-02
18.6000,-6.523929e-02,8.870807e-03,-5.636848e-02,-2.818424e-02,-9.455240e-02,-5.376300e-02
18.8000,-6.254862e-02,8.377655e-03,-5.417096e-02,-2.708548e-02,-9.086628e-02,-3.598573e-02
