gap_nm,centre_distance_nm,U_attr_kcalmol,U_rep_kcalmol,U_pair_kcalmol,U_pair_per_particle_kcalmol,U_pair_J,U_pair_kBT_300K
12.8000,26.170000,-1.006441e+00,2.851888e-01,-7.212519e-01,-3.606260e-01,-5.011039e-21,-1.209827e+00
13.0000,26.370000,-9.533103e-01,2.670958e-01,-6.862145e-01,-3.431073e-01,-4.767610e-21,-1.151055e+00
13.2000,26.570000,-9.034728e-01,2.502946e-01,-6.531782e-01,-3.265891e-01,-4.538083e-21,-1.095640e+00
13.4000,26.770000,-8.566940e-01,2.346836e-01,-6.220104e-01,-3.110052e-01,-4.321539e-21,-1.043359e+00
13.6000,26.970000,-8.127582e-01,2.201702e-01,-5.925880e-01,-2.962940e-01,-4.117121e-21,-9.940062e-01
13.8000,27.170000,-7.714671e-01,2.066678e-01,-5.647994e-01,-2.823997e-01,-3.924054e-21,-9.473936e-01
14.0000,27.370000,-7.326380e-01,1.940974e-01,-5.385406e-01,-2.692703e-01,-3.741616e-21,-9.033472e-01
14.2000,27.570000,-6.961024e-01,1.823881e-01,-5.137143e-01,-2.568572e-01,-3.569131e-21,-8.617036e-01
14.4000,27.770000,-6.617047e-01,1.714743e-01,-4.902304e-01,-2.451152e-01,-3.405972e-21,-8.223117e-01
14.6000,27.970000,-6.293015e-01,1.612960e-01,-4.680054e-01,-2.340027e-01,-3.251559e-21,-7.850316e-01
14.8000,28.170000,-5.987599e-01,1.517989e-01,-4.469610e-01,-2.234805e-01,-3.105349e-21,-7.497316e-01
15.0000,28.370000,-5.699572e-01,1.429314e-01,-4.270258e-01,-2.135129e-01,-2.966845e-21,-7.162925e-01
15.2000,28.570000,-5.427799e-01,1.346471e-01,-4.081328e-01,-2.040664e-01,-2.835582e-21,-6.846013e-01
15.4000,28.770000,-5.171227e-01,1.269043e-01,-3.902183e-01,-1.951092e-01,-2.711118e-21,-6.545516e-01
15.6000,28.970000,-4.928880e-01,1.196633e-01,-3.732247e-01,-1.866123e-01,-2.593051e-21,-6.260465e-01
15.8000,29.170000,-4.699854e-01,1.128899e-01,-3.570955e-01,-1.785477e-01,-2.480991e-21,-5.989914e-01
16.0000,29.370000,-4.483309e-01,1.065484e-01,-3.417825e-01,-1.708912e-01,-2.374601e-21,-5.733054e-01
16.2000,29.570000,-4.278464e-01,1.006084e-01,-3.272380e-01,-1.636190e-01,-2.273550e-21,-5.489085e-01
16.4000,29.770000,-4.084595e-01,9.504145e-02,-3.134180e-01,-1.567090e-01,-2.177533e-21,-5.257269e-01
16.6000,29.970000,-3.901026e-01,8.982148e-02,-3.002811e-01,-1.501406e-01,-2.086262e-21,-5.036911e-01
16.8000,30.170000,-3.727130e-01,8.492503e-02,-2.877880e-01,-1.438940e-01,-1.999463e-21,-4.827352e-01
17.0000,30.370000,-3.562323e-01,8.033104e-02,-2.759013e-01,-1.379507e-01,-1.916878e-21,-4.627964e-01
17.2000,30.570000,-3.406060e-01,7.601731e-02,-2.645887e-01,-1.322944e-01,-1.838282e-21,-4.438207e-01
17.4000,30.770000,-3.257833e-01,7.196569e-02,-2.538176e-01,-1.269088e-01,-1.763447e-21,-4.257532e-01
17.6000,30.970000,-3.117167e-01,6.815729e-02,-2.435594e-01,-1.217797e-01,-1.692177e-21,-4.085462e-01
17.8000,31.170000,-2.983621e-01,6.457604e-02,-2.337860e-01,-1.168930e-01,-1.624274e-21,-3.921523e-01
18.0000,31.370000,-2.856781e-01,6.120692e-02,-2.244712e-01,-1.122356e-01,-1.559558e-21,-3.765276e-01
18.2000,31.570000,-2.736262e-01,5.803590e-02,-2.155903e-01,-1.077951e-01,-1.497856e-21,-3.616308e-01
18.4000,31.770000,-2.621701e-01,5.504989e-02,-2.071202e-01,-1.035601e-01,-1.439008e-21,-3.474232e-01
18.6000,31.970000,-2.512762e-01,5.223690e-02,-1.990393e-01,-9.951965e-02,-1.382865e-21,-3.338682e-01
18.8000,32.170000,-2.409128e-01,4.958595e-02,-1.913268e-01,-9.566342e-02,-1.329281e-21,-3.209314e-01
19.0000,32.370000,-2.310503e-01,4.708681e-02,-1.839635e-01,-9.198173e-02,-1.278122e-21,-3.085800e-01
19.2000,32.570000,-2.216609e-01,4.472999e-02,-1.769309e-01,-8.846545e-02,-1.229262e-21,-2.967836e-01
19.4000,32.770000,-2.127186e-01,4.250610e-02,-1.702125e-01,-8.510625e-02,-1.182585e-21,-2.855142e-01
19.6000,32.970000,-2.041990e-01,4.040703e-02,-1.637920e-01,-8.189599e-02,-1.137977e-21,-2.747444e-01
19.8000,33.170000,-1.960792e-01,3.842492e-02,-1.576543e-01,-7.882716e-02,-1.095334e-21,-2.644491e-01
20.0000,33.370000,-1.883378e-01,3.655232e-02,-1.517854e-01,-7.589272e-02,-1.054559e-21,-2.546046e-01
20.2000,33.570000,-1.809544e-01,3.478251e-02,-1.461718e-01,-7.308592e-02,-1.015557e-21,-2.451884e-01
20.4000,33.770000,-1.739101e-01,3.310921e-02,-1.408009e-01,-7.040043e-02,-9.782415e-22,-2.361791e-01
20.6000,33.970000,-1.671870e-01,3.152658e-02,-1.356605e-01,-6.783023e-02,-9.425275e-22,-2.275566e-01
20.8000,34.170000,-1.607685e-01,3.002915e-02,-1.307393e-01,-6.536965e-02,-9.083368e-22,-2.193019e-01
21.0000,34.370000,-1.546385e-01,2.861248e-02,-1.260260e-01,-6.301302e-02,-8.755906e-22,-2.113959e-01
21.2000,34.570000,-1.487824e-01,2.727154e-02,-1.215109e-01,-6.075543e-02,-8.442204e-22,-2.038221e-01
21.4000,34.770000,-1.431860e-01,2.600172e-02,-1.171843e-01,-5.859215e-02,-8.141608e-22,-1.965647e-01
21.6000,34.970000,-1.378362e-01,2.479849e-02,-1.130377e-01,-5.651885e-02,-7.853516e-22,-1.896093e-01
21.8000,35.170000,-1.327205e-01,2.365796e-02,-1.090625e-01,-5.453127e-02,-7.577333e-22,-1.829413e-01
22.0000,35.370000,-1.278272e-01,2.257651e-02,-1.052507e-01,-5.262533e-02,-7.312495e-22,-1.765473e-01
22.2000,35.570000,-1.231451e-01,2.155072e-02,-1.015944e-01,-5.079720e-02,-7.058470e-22,-1.704143e-01
22.4000,35.770000,-1.186639e-01,2.057742e-02,-9.808650e-02,-4.904325e-02,-6.814751e-22,-1.645301e-01
22.6000,35.970000,-1.143737e-01,1.965362e-02,-9.472006e-02,-4.736003e-02,-6.580861e-22,-1.588833e-01
22.8000,36.170000,-1.102651e-01,1.877653e-02,-9.148855e-02,-4.574427e-02,-6.356346e-22,-1.534628e-01
23.0000,36.370000,-1.063293e-01,1.794352e-02,-8.838579e-02,-4.419289e-02,-6.140775e-22,-1.482582e-01
23.2000,36.570000,-1.025580e-01,1.715213e-02,-8.540590e-02,-4.270295e-02,-5.933742e-22,-1.432597e-01
23.4000,36.770000,-9.894338e-02,1.640005e-02,-8.254333e-02,-4.127166e-02,-5.734859e-22,-1.384581e-01
23.6000,36.970000,-9.547790e-02,1.568511e-02,-7.979278e-02,-3.989639e-02,-5.543760e-22,-1.338443e-01
23.8000,37.170000,-9.215452e-02,1.500527e-02,-7.714925e-02,-3.857462e-02,-5.360095e-22,-1.294100e-01
24.0000,37.370000,-8.896659e-02,1.435862e-02,-7.460796e-02,-3.730398e-02,-5.183534e-22,-1.251473e-01
24.2000,37.570000,-8.590776e-02,1.374336e-02,-7.216441e-02,-3.608220e-02,-5.013763e-22,-1.210485e-01
24.4000,37.770000,-8.297206e-02,1.315778e-02,-6.981428e-02,-3.490714e-02,-4.850483e-22,-1.171064e-01
24.6000,37.970000,-8.015380e-02,1.260031e-02,-6.755349e-02,-3.377675e-02,-4.693411e-22,-1.133141e-01
24.8000,38.170000,-7.744760e-02,1.206944e-02,-6.537817e-02,-3.268908e-02,-4.542276e-22,-1.096652e-01
25.0000,38.370000,-7.484836e-02,1.156376e-02,-6.328461e-02,-3.164230e-02,-4.396822e-22,-1.061535e-01
