assembly,channel,dipole_manifold,temperature_K,twist_halfwidth_deg,volume_fraction,twist_registry_weight,twist_free_energy_cost_kBT,orbit_count,alpha,p_pair,p_free,kBT_J,vdW_pair_J,U_bound_conditional_per_NC_J,U_total_per_NC_J,vdW_pair_kBT,U_bound_conditional_per_NC_kBT,U_total_per_NC_kBT
dimer,face,free,200.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.003526294410286233,0.9964737055897138,2.7612980000000003e-21,-4.8834370285786125e-21,-1.5577519069624914e-20,-5.493091842134554e-23,-1.7685295207466243,-5.641375566717143,-0.01989315112723999
dimer,face,free,201.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.003334463242337204,0.9966655367576628,2.7751044900000003e-21,-4.8834370285786125e-21,-1.5574877278270113e-20,-5.1933855788304607e-23,-1.7597308664145515,-5.612357060569677,-0.018714198321341264
dimer,face,free,202.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0031548117391213713,0.9968451882608786,2.7889109800000003e-21,-4.8834370285786125e-21,-1.55721987636079e-20,-4.9127355463361504e-23,-1.7510193274719053,-5.5836126987487775,-0.017615246888719804
dimer,face,free,203.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.002986468245083657,0.9970135317549164,2.8027174700000003e-21,-4.8834370285786125e-21,-1.5569483517237656e-20,-4.6497768116583664e-23,-1.7423936164991372,-5.555138426863145,-0.016590244508870762
dimer,face,free,204.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.002828629877328664,0.9971713701226713,2.8165239600000003e-21,-4.8834370285786125e-21,-1.5566731536114977e-20,-4.4032521915409154e-23,-1.73385247132022,-5.526930271921058,-0.015633640097068142
dimer,face,free,205.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0026805566410524903,0.9973194433589475,2.8303304500000003e-21,-4.8834370285786125e-21,-1.556394282246404e-20,-4.172003029371723e-23,-1.7253946543869505,-5.498984340314057,-0.014740338992472495
dimer,face,free,206.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.002541566083671549,0.9974584339163285,2.8441369400000004e-21,-4.8834370285786125e-21,-1.5561117383689735e-20,-3.954960816641758e-23,-1.7170189521811885,-5.471296815859271,-0.013905662420888067
dimer,face,free,207.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0024110284355426735,0.9975889715644574,2.8579434300000004e-21,-4.8834370285786125e-21,-1.555825523228953e-20,-3.7511395772480637e-23,-1.7087241746344195,-5.443863957898399,-0.013125310801718925
dimer,face,free,208.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.002288362190425865,0.9977116378095742,2.8717499200000004e-21,-4.8834370285786125e-21,-1.5555356385764943e-20,-3.5596289411784036e-23,-1.7005091545640616,-5.416682099451383,-0.012395330513941141
dimer,face,free,209.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0021730300835530202,0.9978269699164469,2.88555641e-21,-4.8834370285786125e-21,-1.5552420866533214e-20,-3.379587841505441e-23,-1.6923727471259564,-5.389747645423163,-0.01171208377626359
dimer,face,free,210.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.002064535429390022,0.99793546457061,2.8993629e-21,-4.8834370285786125e-21,-1.5549448701838624e-20,-3.2102387752428524e-23,-1.6843138292824995,-5.363057070861541,-0.011072221332634326
dimer,face,free,211.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0019624187849667713,0.9980375812150333,2.91316939e-21,-4.8834370285786125e-21,-1.5546439923664112e-20,-3.0508625745555834e-23,-1.6763312992858999,-5.336606919264695,-0.01047265766634869
dimer,face,free,212.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0018662549080455892,0.9981337450919544,2.92697588e-21,-4.8834370285786125e-21,-1.5543394568642637e-20,-2.900793640141847e-23,-1.6684240761760607,-5.3103938009364935,-0.009910548494652602
dimer,face,free,213.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0017756499824442356,0.9982243500175557,2.94078237e-21,-4.8834370285786125e-21,-1.5540312677969093e-20,-2.759415593381375e-23,-1.660591099292605,-5.284414391388334,-0.009383270321296761
dimer,face,free,214.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.001690239085562545,0.9983097609144375,2.95458886e-21,-4.8834370285786125e-21,-1.553719429731193e-20,-2.6261573081296103e-23,-1.6528313278005835,-5.258665429785696,-0.008888401847320341
