geometry,temperature_K,old_rotation_cost_kBT,new_rotation_cost_kBT,free_energy_change_kBT,Udd_kBT,new_Fmag_plus_rotation_kBT
face,200.0,17.004041156721613,12.609592002049173,-4.39444915467244,-0.10041711264556018,12.509595076109425
face,201.0,17.004041156721613,12.609592002049173,-4.39444915467244,-0.11378647974913816,12.496346696265125
face,202.0,17.004041156721613,12.609592002049173,-4.39444915467244,-0.12873940756044028,12.48154723263259
face,203.0,17.004041156721613,12.609592002049173,-4.39444915467244,-0.14543424334506572,12.46504632320808
face,204.0,17.004041156721613,12.609592002049173,-4.39444915467244,-0.16404064703782684,12.446684034067417
face,205.0,17.004041156721613,12.609592002049173,-4.39444915467244,-0.18473962647666242,12.426291137415468
face,206.0,17.004041156721613,12.609592002049173,-4.39444915467244,-0.20772340398081043,12.40368959537803
face,207.0,17.004041156721613,12.609592002049173,-4.39444915467244,-0.23319508210285053,12.378693280398643
face,208.0,17.004041156721613,12.609592002049173,-4.39444915467244,-0.26136807500886167,12.351108962387897
face,209.0,17.004041156721613,12.609592002049173,-4.39444915467244,-0.29246527142018763,12.320737590700066
face,210.0,17.004041156721613,12.609592002049173,-4.39444915467244,-0.32671789605229,12.287375894927239
face,211.0,17.004041156721613,12.609592002049173,-4.39444915467244,-0.3643640392508521,12.250818322222994
face,212.0,17.004041156721613,12.609592002049173,-4.39444915467244,-0.40564682954859266,12.21085932002438
face,213.0,17.004041156721613,12.609592002049173,-4.39444915467244,-0.4508122315699344,12.16729596141232
face,214.0,17.004041156721613,12.609592002049173,-4.39444915467244,-0.5001064623853395,12.119930895937316
face,215.0,17.004041156721613,12.609592002049173,-4.39444915467244,-0.5537730332652664,12.068575591725619
face,216.0,17.004041156721613,12.609592002049173,-4.39444915467244,-0.6120494408246674,12.013053815538395
face,217.0,17.004041156721613,12.609592002049173,-4.39444915467244,-0.6751635513581291,11.953205277172774
face,218.0,17.004041156721613,12.609592002049173,-4.39444915467244,-0.7433297440387081,11.888889344491727
face,219.0,17.004041156721613,12.609592002049173,-4.39444915467244,-0.8167449012550968,11.819988717390473
face,220.0,17.004041156721613,12.609592002049173,-4.39444915467244,-0.8955843559108672,11.74641293544667
face,221.0,17.004041156721613,12.609592002049173,-4.39444915467244,-0.9799979235267611,11.668101587632169
face,222.0,17.004041156721613,12.609592002049173,-4.39444915467244,-1.0701061587164775,11.585027095977331
face,223.0,17.004041156721613,12.609592002049173,-4.39444915467244,-1.165996977922201,11.497196960994094
face,224.0,17.004041156721613,12.609592002049173,-4.39444915467244,-1.2677227802901485,11.404655386584778
face,225.0,17.004041156721613,12.609592002049173,-4.39444915467244,-1.3752981741238073,11.307484246079488
face,226.0,17.004041156721613,12.609592002049173,-4.39444915467244,-1.4886983765292932,11.205803406918623
face,227.0,17.004041156721613,12.609592002049173,-4.39444915467244,-1.6078582999128879,11.09977049439139
face,228.0,17.004041156721613,12.609592002049173,-4.39444915467244,-1.7326722747663565,10.989580236882112
face,229.0,17.004041156721613,12.609592002049173,-4.39444915467244,-1.8629942903105898,10.875463585937172
face,230.0,17.004041156721613,12.609592002049173,-4.39444915467244,-1.9986385725582654,10.757686832253983
face,231.0,17.004041156721613,12.609592002049173,-4.39444915467244,-2.139380274223452,10.636550932392378
face,232.0,17.004041156721613,12.609592002049173,-4.39444915467244,-2.2849560338862247,10.512391212930119
face,233.0,17.004041156721613,12.609592002049173,-4.39444915467244,-2.4350641816998717,10.385577527944363
face,234.0,17.004041156721613,12.609592002049173,-4.39444915467244,-2.5893644296191836,10.25651482013417
face,235.0,17.004041156721613,12.609592002049173,-4.39444915467244,-2.7474769824092284,10.125643893567194
face,236.0,17.004041156721613,12.609592002049173,-4.39444915467244,-2.9089811301725943,9.993442073036233
face,237.0,17.004041156721613,12.609592002049173,-4.39444915467244,-3.073413515217045,9.860423330596433
face,238.0,17.004041156721613,12.609592002049173,-4.39444915467244,-3.2402663831901135,9.727137428844443
face,239.0,17.004041156721613,12.609592002049173,-4.39444915467244,-3.4089862091687095,9.594167674898156
face,240.0,17.004041156721613,12.609592002049173,-4.39444915467244,-3.5789731195695706,9.462126991901846
face,241.0,17.004041156721613,12.609592002049173,-4.39444915467244,-3.7495815079454053,9.331652169780934
face,242.0,17.004041156721613,12.609592002049173,-4.39444915467244,-3.9201221779634423,9.20339631484731
face,243.0,17.004041156721613,12.609592002049173,-4.39444915467244,-4.089866261408362,9.078019640284557
face,244.0,17.004041156721613,12.609592002049173,-4.39444915467244,-4.258051077266124,8.956178803287541
face,245.0,17.004041156721613,12.609592002049173,-4.39444915467244,-4.423888037275474,8.83851500201375
face,246.0,17.004041156721613,12.609592002049173,-4.39444915467244,-4.58657266626223,8.725641025545352
face,247.0,17.004041156721613,12.609592002049173,-4.39444915467244,-4.745296775824849,8.618127450695063
face,248.0,17.004041156721613,12.609592002049173,-4.39444915467244,-4.899262776601928,8.516488251398293
face,249.0,17.004041156721613,12.609592002049173,-4.39444915467244,-5.0477000023475895,8.421166261598843
face,250.0,17.004041156721613,12.609592002049173,-4.39444915467244,-5.189882723977579,8.3325192031649
face,251.0,17.004041156721613,12.609592002049173,-4.39444915467244,-5.32514925297998,8.250807299909827
face,252.0,17.004041156721613,12.609592002049173,-4.39444915467244,-5.452921202159064,8.176183751351466
face,253.0,17.004041156721613,12.609592002049173,-4.39444915467244,-5.572721648440378,8.108689424816726
face,254.0,17.004041156721613,12.609592002049173,-4.39444915467244,-5.6841907076248095,8.048252946759707
face,255.0,17.004041156721613,12.609592002049173,-4.39444915467244,-5.787096965830234,7.994696887751342
face,256.0,17.004041156721613,12.609592002049173,-4.39444915467244,-5.881343378047377,7.94774997764894
face,257.0,17.004041156721613,12.609592002049173,-4.39444915467244,-5.966966661786525,7.907064398993377
face,258.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.044129850685959,7.872236414141943
face,259.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.113108440914035,7.8428281203303
face,260.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.174271330479121,7.818388128985491
face,261.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.228058369700401,7.798469384086606
