geometry,temperature_K,exposure_s,ramp_duration_s,frame_index,ramp_start_s,hold_start_s,hold_end_s,center_distance_nm,Udd_hold_start_J,Udd_hold_mean_J,Udd_hold_end_J,Udd_eq_J,Udd_reset_same_window_J,vdW_J,kBT_J,probability_normalization_error,probability_change_during_ramp_L1,Udd_hold_start_kBT,Udd_hold_mean_kBT,Udd_hold_end_kBT,Udd_eq_kBT,Udd_reset_same_window_kBT,vdW_kBT,kBT_kBT
face,200.0,20.0,120.0,10,1280.0,1400.0,1420.0,19.0,-2.6163669865409297e-20,-2.6164397636999923e-20,-2.6165121435794627e-20,-2.627160111067121e-20,-2.772815723139598e-22,-4.8834370285786125e-21,2.7612980000000003e-21,0.0,0.002038853534509642,-9.475134471328083,-9.475398032736749,-9.47566015540323,-9.51422161268766,-0.10041711264556008,-1.7685295207466243,1.0
tip,300.0,20.0,120.0,0,0.0,0.0,20.0,28.516660498395403,0.0,-5.053222344281927e-21,-5.333803955962214e-21,-5.33384301805498e-21,-5.053222344281927e-21,-2.453204187515728e-22,4.141947e-21,0.0,0.0,0.0,-1.2200113483542707,-1.2877528263790468,-1.28776225723192,-1.2200113483542707,-0.05922828533334029,1.0
tip,290.0,20.0,120.0,1,20.0,140.0,160.0,28.516660498395403,-5.504405785072977e-21,-5.508153002709189e-21,-5.508826744793363e-21,-5.508846686587316e-21,-4.909414127163026e-21,-2.453204187515728e-22,4.0038821e-21,0.0,0.02917711320851172,-1.3747672003311429,-1.375703096429635,-1.375871368638293,-1.3758763492529704,-1.2261635094507468,-0.0612706400000072,1.0
tip,280.0,20.0,120.0,2,160.0,280.0,300.0,28.516660498395403,-5.686413868109165e-21,-5.692620424610718e-21,-5.694957440335531e-21,-5.695663183908489e-21,-4.411149101599968e-21,-2.453204187515728e-22,3.8658172000000005e-21,0.0,0.031143656172706945,-1.4709474281683996,-1.472552924802217,-1.4731574582304434,-1.4733400182265444,-1.141065103026591,-0.06345887714286459,1.0
tip,270.0,20.0,120.0,3,300.0,420.0,440.0,28.516660498395403,-5.874194943171427e-21,-5.883535657478208e-21,-5.889079539789145e-21,-5.895427790571217e-21,-3.396447514871805e-21,-2.453204187515728e-22,3.7277523000000004e-21,1.1102230246251565e-16,0.03214056128587527,-1.5758007695874607,-1.578306492488304,-1.579793684196545,-1.5814966543166553,-0.9111247855367979,-0.06580920592593364,1.0
tip,260.0,20.0,120.0,4,440.0,560.0,580.0,28.516660498395403,-6.0603202811745275e-21,-6.0719174108237614e-21,-6.0808805934784155e-21,-6.10937718264053e-21,-2.0683703999363975e-21,-2.453204187515728e-22,3.5896874e-21,0.0,0.03131775832893262,-1.6882585043963791,-1.6914891839394597,-1.6939861096201343,-1.701924569432015,-0.5761979162688086,-0.06834032923077725,1.0
tip,250.0,20.0,120.0,5,580.0,700.0,720.0,28.516660498395403,-6.232898979047319e-21,-6.244310471131526e-21,-6.254487176279877e-21,-6.338839352680995e-21,-9.937599776786517e-22,-2.453204187515728e-22,3.4516225e-21,0.0,0.02835537863418726,-1.805788141387802,-1.8090942654161994,-1.812042648429797,-1.8364810614952807,-0.28791096873387856,-0.07107394240000835,1.0
tip,240.0,20.0,120.0,6,720.0,840.0,860.0,28.516660498395403,-6.376305244965358e-21,-6.385192669974496e-21,-6.393686545667141e-21,-6.585209377659161e-21,-3.9814344696292124e-22,-2.453204187515728e-22,3.3135576e-21,1.1102230246251565e-16,0.023024319946102705,-1.9243079537731163,-1.9269900936608122,-1.929553464127843,-1.987353223513954,-0.12015588531278926,-0.07403535666667536,1.0
tip,230.0,20.0,120.0,7,860.0,980.0,1000.0,28.516660498395403,-6.478141549612009e-21,-6.483650747049589e-21,-6.489072665312188e-21,-6.849903052628219e-21,-1.3903547019849845e-22,-2.453204187515728e-22,3.1754927000000003e-21,0.0,0.016044214931324567,-2.0400429670683886,-2.041777878138277,-2.0434853039694243,-2.1571150368660015,-0.04378390484049875,-0.07725428521740037,1.0
tip,220.0,20.0,120.0,8,1000.0,1120.0,1140.0,28.516660498395403,-6.537065894897508e-21,-6.5398115780207985e-21,-6.542543479192106e-21,-7.134277087277311e-21,-4.3062875337909264e-23,-2.453204187515728e-22,3.0374278e-21,0.0,0.009177943126485105,-2.1521716153705803,-2.153075565457325,-2.1539749781680757,-2.3487890271094876,-0.014177415291289974,-0.08076584363637312,1.0
tip,210.0,20.0,120.0,9,1140.0,1260.0,1280.0,28.516660498395403,-6.564433861335054e-21,-6.565532842741627e-21,-6.566630287280872e-21,-7.439500575776502e-21,-1.1815032151068711e-23,-2.453204187515728e-22,2.8993629e-21,0.0,0.004287959132563801,-2.264095281530661,-2.264474323908065,-2.264852836214767,-2.5659087297338674,-0.0040750442626787805,-0.08461183619048614,1.0
tip,200.0,20.0,120.0,10,1280.0,1400.0,1420.0,28.516660498395403,-6.574656441658047e-21,-6.575010952429844e-21,-6.5753653432225834e-21,-7.766358435913508e-21,-2.8373245171873488e-24,-2.453204187515728e-22,2.7612980000000003e-21,2.220446049250313e-16,0.001630207901437006,-2.381002138001058,-2.3811305235544453,-2.381258865657594,-2.812575258415972,-0.0010275328911212584,-0.08884242800001042,1.0
face,300.0,150.0,120.0,0,0.0,0.0,150.0,19.0,0.0,-2.537947197705812e-20,-2.5406510436331082e-20,-2.5406510436331082e-20,-2.537947197705812e-20,-4.8834370285786125e-21,4.141947e-21,0.0,0.0,0.0,-6.127425574749778,-6.133953533526885,-6.133953533526885,-6.127425574749778,-1.1790196804977495,1.0
face,290.0,150.0,120.0,1,150.0,270.0,420.0,19.0,-2.5518566477502316e-20,-2.551995146306726e-20,-2.5519953977373053e-20,-2.551995397737304e-20,-2.5468143067834097e-20,-4.8834370285786125e-21,4.0038821e-21,0.0,0.015616568311781069,-6.373456020970827,-6.373801931647103,-6.373802559614094,-6.373802559614091,-6.3608623909865125,-1.2196755315493961,1.0
face,280.0,150.0,120.0,2,420.0,540.0,690.0,19.0,-2.562697012555782e-20,-2.5628300787317225e-20,-2.562830560773074e-20,-2.5628305607730767e-20,-2.5524379557751882e-20,-4.8834370285786125e-21,3.8658172000000005e-21,0.0,0.015047110840731355,-6.629121036958969,-6.629465249240761,-6.629466496173367,-6.629466496173374,-6.602583163464605,-1.2632353719618743,1.0
face,270.0,150.0,120.0,3,690.0,810.0,960.0,19.0,-2.5729751325786946e-20,-2.573119189440033e-20,-2.5731202983851373e-20,-2.573120298385136e-20,-2.551186869744753e-20,-4.8834370285786125e-21,3.7277523000000004e-21,0.0,0.014384566699792871,-6.902215934730144,-6.902602379026184,-6.902605353861996,-6.902605353861993,-6.84376714017386,-1.3100218672197217,1.0
face,260.0,150.0,120.0,4,960.0,1080.0,1230.0,19.0,-2.582611090051889e-20,-2.582825127496962e-20,-2.5828288756099683e-20,-2.5828288756099683e-20,-2.5338367899333526e-20,-4.8834370285786125e-21,3.5896874e-21,1.1102230246251565e-16,0.013563873665395885,-7.194529222939827,-7.195125479441363,-7.195135920776745,-7.195135920776745,-7.058655831517119,-1.3604073236512495,1.0
face,250.0,150.0,120.0,5,1230.0,1350.0,1500.0,19.0,-2.5914973723192833e-20,-2.5919044622678612e-20,-2.5919217944810477e-20,-2.5919217944812845e-20,-2.475306986147502e-20,-4.8834370285786125e-21,3.4516225e-21,0.0,0.012478628370276072,-7.508055624041399,-7.509235040239369,-7.509285254923004,-7.5092852549236895,-7.171430207525597,-1.4148236165972994,1.0
face,240.0,150.0,120.0,6,1500.0,1620.0,1770.0,19.0,-2.5994498510680285e-20,-2.6002722240971883e-20,-2.600366582534431e-20,-2.6003666990911675e-20,-2.302421142218957e-20,-4.8834370285786125e-21,3.3135576e-21,0.0,0.010907796116281713,-7.844891095504205,-7.847372938672285,-7.847657703413488,-7.847658055170574,-6.948486853582859,-1.473774600622187,1.0
face,230.0,150.0,120.0,7,1770.0,1890.0,2040.0,19.0,-2.6061477190993192e-20,-2.607595011039707e-20,-2.608074588027731e-20,-2.608134462389288e-20,-1.8457297599459866e-20,-4.8834370285786125e-21,3.1754927000000003e-21,1.1102230246251565e-16,0.00842147727981803,-8.207065691252634,-8.211623383797125,-8.21313362813818,-8.213322179544887,-5.8124201008114,-1.5378517571709776,1.0
face,220.0,150.0,120.0,8,2040.0,2160.0,2310.0,19.0,-2.6114754425626146e-20,-2.6130475688106264e-20,-2.6140879149954925e-20,-2.6152004616910618e-20,-1.1436384354555625e-20,-4.8834370285786125e-21,3.0374278e-21,0.0,0.004957165665313306,-8.59765437901969,-8.602830226320528,-8.606255315749372,-8.609918107982885,-3.7651543040975737,-1.6077541097696584,1.0
face,210.0,150.0,120.0,9,2310.0,2430.0,2580.0,19.0,-2.6158916624937478e-20,-2.6168299548852068e-20,-2.6176482003335865e-20,-2.6215460375098637e-20,-5.381868728849708e-21,-4.8834370285786125e-21,2.8993629e-21,0.0,0.002625906238539418,-9.022298183141364,-9.02553438510649,-9.028356541133869,-9.041800312440584,-1.8562245963931274,-1.6843138292824995,1.0
face,200.0,150.0,120.0,10,2580.0,2700.0,2850.0,19.0,-2.6186197452215723e-20,-2.619038458275811e-20,-2.6194407496033258e-20,-2.627160111067121e-20,-1.8845657435812247e-21,-4.8834370285786125e-21,2.7612980000000003e-21,0.0,0.001426759479873229,-9.483292803679907,-9.484809166833173,-9.486266058945198,-9.51422161268766,-0.6824927058148829,-1.7685295207466243,1.0
tip,300.0,150.0,120.0,0,0.0,0.0,150.0,28.516660498395403,0.0,-5.29642643343447e-21,-5.3338430180549816e-21,-5.33384301805498e-21,-5.29642643343447e-21,-2.453204187515728e-22,4.141947e-21,0.0,0.0,0.0,-1.2787286832580114,-1.2877622572319205,-1.28776225723192,-1.2787286832580114,-0.05922828533334029,1.0
tip,290.0,150.0,120.0,1,150.0,270.0,420.0,28.516660498395403,-5.504405785072977e-21,-5.5087536647350546e-21,-5.508846686587317e-21,-5.508846686587316e-21,-5.428650250892437e-21,-2.453204187515728e-22,4.0038821e-21,0.0,0.029168461211911703,-1.3747672003311429,-1.3758531163380296,-1.3758763492529706,-1.3758763492529704,-1.355846679624367,-0.0612706400000072,1.0
tip,280.0,150.0,120.0,2,420.0,540.0,690.0,28.516660498395403,-5.686413868109184e-21,-5.695216049829606e-21,-5.6956631836209315e-21,-5.695663183908489e-21,-5.514326620812949e-21,-2.453204187515728e-22,3.8658172000000005e-21,0.0,0.03113920093195486,-1.4709474281684047,-1.4732243546926134,-1.4733400181521596,-1.4733400182265444,-1.4264323260843654,-0.06345887714286459,1.0
tip,270.0,150.0,120.0,3,690.0,810.0,960.0,28.516660498395403,-5.874195015816563e-21,-5.8929914717534026e-21,-5.895416273201885e-21,-5.895427790571217e-21,-5.46048471632578e-21,-2.453204187515728e-22,3.7277523000000004e-21,2.220446049250313e-16,0.03198206296021369,-1.5758007890751116,-1.5808430918957255,-1.5814935646882666,-1.5814966543166553,-1.4648196223568233,-0.06580920592593364,1.0
tip,260.0,150.0,120.0,4,960.0,1080.0,1230.0,28.516660498395403,-6.060455355633885e-21,-6.096083919212714e-21,-6.107332841169019e-21,-6.10937718264053e-21,-5.02889955950852e-21,-2.453204187515728e-22,3.5896874e-21,1.1102230246251565e-16,0.029943435074405635,-1.688296132870479,-1.6982213880831833,-1.701355065393443,-1.701924569432015,-1.400929662986398,-0.06834032923077725,1.0
tip,250.0,150.0,120.0,5,1230.0,1350.0,1500.0,28.516660498395403,-6.2382105337003014e-21,-6.2870389476048e-21,-6.3133151087087936e-21,-6.338839352680995e-21,-3.9129276069661074e-21,-2.453204187515728e-22,3.4516225e-21,0.0,0.023898165107131955,-1.8073269987376375,-1.8214735092278485,-1.829086207633886,-1.8364810614952807,-1.1336487715461663,-0.07107394240000835,1.0
tip,240.0,150.0,120.0,6,1500.0,1620.0,1770.0,28.516660498395403,-6.403984833961372e-21,-6.45065091374637e-21,-6.485037445580858e-21,-6.585209377659161e-21,-2.259167678172443e-21,-2.453204187515728e-22,3.3135576e-21,0.0,0.017159181334590847,-1.9326613890645425,-1.9467447657304555,-1.9571222922398746,-1.987353223513954,-0.6817952034913903,-0.07403535666667536,1.0
tip,230.0,150.0,120.0,7,1770.0,1890.0,2040.0,28.516660498395403,-6.543073882001287e-21,-6.574461632575437e-21,-6.602414480803899e-21,-6.849903052628219e-21,-9.454612958785958e-22,-2.453204187515728e-22,3.1754927000000003e-21,1.1102230246251565e-16,0.011234303474153615,-2.0604909222437473,-2.070375294068677,-2.0791779747451153,-2.1571150368660015,-0.2977368821785028,-0.07725428521740037,1.0
tip,220.0,150.0,120.0,8,2040.0,2160.0,2310.0,28.516660498395403,-6.637573425621421e-21,-6.65396548104182e-21,-6.669761920028106e-21,-7.134277087277311e-21,-3.135147698804166e-22,-2.453204187515728e-22,3.0374278e-21,0.0,0.006814614911527291,-2.1852613009011836,-2.190657990633331,-2.1958585879895174,-2.3487890271094876,-0.10321719248122262,-0.08076584363637312,1.0
tip,210.0,150.0,120.0,9,2310.0,2430.0,2580.0,28.516660498395403,-6.687173641276532e-21,-6.694071305164862e-21,-6.700897786866831e-21,-7.439500575776502e-21,-8.791328096667923e-23,-2.453204187515728e-22,2.8993629e-21,0.0,0.0034160530678719212,-2.3064286437812016,-2.308807671217998,-2.3111621476796955,-2.5659087297338674,-0.03032158580999958,-0.08461183619048614,1.0
tip,200.0,150.0,120.0,10,2580.0,2700.0,2850.0,28.516660498395403,-6.707690092075552e-21,-6.710010647522657e-21,-6.712325354677288e-21,-7.766358435913508e-21,-2.124069990641708e-23,-2.453204187515728e-22,2.7612980000000003e-21,0.0,0.0013618419542809695,-2.429180078381816,-2.430020464116027,-2.4308587318997397,-2.812575258415972,-0.00769228815811154,-0.08884242800001042,1.0
